Recall	Trained model (area: 0.59)	Random classifier (area: 0.13)
7.336683417085426706e-01	4.624028598618529218e-01	1.313249623220530127e-01
7.386934673366833959e-01	4.556712132089016376e-01	1.267700871751274438e-01
7.437185929648241212e-01	4.573353781896495329e-01	1.275202467849118337e-01
7.487437185929648464e-01	4.589995431703974282e-01	1.282704063946961959e-01
7.537688442211055717e-01	4.606637081511453791e-01	1.290205660044805580e-01
7.587939698492462970e-01	4.623278731318932744e-01	1.297707256142649479e-01
7.638190954773869112e-01	4.639920381126411697e-01	1.305208852240493100e-01
7.688442211055276365e-01	3.836124355794316987e-01	1.182062937900951599e-01
7.738693467336683618e-01	3.851418216401701899e-01	1.188853648209249880e-01
7.788944723618090871e-01	3.866712077009086812e-01	1.195644358517548161e-01
7.839195979899498123e-01	3.882005937616471725e-01	1.202435068825846443e-01
7.889447236180904266e-01	3.897299798223856082e-01	1.209225779134144585e-01
7.939698492462311519e-01	3.912593658831240995e-01	1.216016489442442866e-01
7.989949748743718771e-01	3.266331658291457551e-01	1.222748087790790222e-01
8.040201005025126024e-01	3.280054892938588651e-01	1.229477894867623960e-01
8.090452261306533277e-01	3.293778127585719750e-01	1.236207701944457699e-01
8.140703517587939420e-01	3.307501362232850850e-01	1.242937509021291159e-01
8.190954773869346672e-01	3.321224596879981950e-01	1.249667316098124897e-01
8.241206030150753925e-01	3.078435656543587751e-01	1.239713831721470511e-01
8.291457286432161178e-01	3.091292583317927778e-01	1.246307950026535188e-01
8.341708542713568431e-01	3.104149510092267805e-01	1.252902068331600005e-01
8.391959798994974573e-01	3.117006436866607277e-01	1.259496186636664683e-01
8.442211055276381826e-01	3.129863363640947305e-01	1.266090304941729361e-01
8.492462311557789079e-01	3.142720290415287332e-01	1.272684423246794316e-01
8.542713567839196331e-01	1.861319499670490429e-01	1.257115927450358217e-01
8.592964824120603584e-01	1.870178920078097717e-01	1.263555799598080065e-01
8.643216080402009727e-01	1.879038340485704728e-01	1.269995671745801635e-01
8.693467336683416979e-01	1.887897760893312016e-01	1.276435543893523483e-01
8.743718592964824232e-01	1.896757181300919304e-01	1.282875416041245331e-01
8.793969849246231485e-01	1.905616601708526592e-01	1.289315288188967179e-01
8.844221105527638738e-01	1.525854674593291882e-01	1.290173032360363847e-01
